,股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额
262,sh600000,浦发银行,2017-03-01,16.58,16.62,16.52,16.56,16.59,16226984.0,268840218.0
263,sh600000,浦发银行,2017-03-02,16.62,16.62,16.39,16.41,16.56,18996632.0,312626391.0
264,sh600000,浦发银行,2017-03-03,16.42,16.43,16.32,16.35,16.41,12429467.0,203315662.0
265,sh600000,浦发银行,2017-03-06,16.37,16.53,16.35,16.41,16.35,15703751.0,258165904.0
266,sh600000,浦发银行,2017-03-07,16.38,16.45,16.37,16.43,16.41,9319842.0,152969168.0
267,sh600000,浦发银行,2017-03-08,16.4,16.44,16.35,16.39,16.43,10109647.0,165715073.0
268,sh600000,浦发银行,2017-03-09,16.37,16.4,16.22,16.22,16.39,17366025.0,282644706.0
269,sh600000,浦发银行,2017-03-10,16.23,16.28,16.17,16.23,16.22,16396375.0,265663459.0
270,sh600000,浦发银行,2017-03-13,16.23,16.34,16.16,16.34,16.23,17950147.0,291999358.0
271,sh600000,浦发银行,2017-03-14,16.34,16.35,16.24,16.26,16.34,16988979.0,276642688.0
272,sh600000,浦发银行,2017-03-15,16.24,16.28,16.17,16.24,16.26,18900324.0,306175990.0
273,sh600000,浦发银行,2017-03-16,16.27,16.35,16.25,16.29,16.24,19036545.0,310417986.0
274,sh600000,浦发银行,2017-03-17,16.3,16.32,16.14,16.2,16.29,21560354.0,350179470.0
275,sh600000,浦发银行,2017-03-20,16.24,16.25,16.13,16.14,16.2,15017806.0,242775930.0
276,sh600000,浦发银行,2017-03-21,16.15,16.16,15.98,16.0,16.14,31124617.0,499206643.0
277,sh600000,浦发银行,2017-03-22,15.98,15.98,15.7,15.78,16.0,43811429.0,691677895.0
278,sh600000,浦发银行,2017-03-23,15.8,15.92,15.79,15.88,15.78,22225660.0,352635979.0
279,sh600000,浦发银行,2017-03-24,15.85,16.0,15.83,15.96,15.88,19902006.0,316984958.0
280,sh600000,浦发银行,2017-03-27,15.97,16.13,15.9,16.04,15.96,18997369.0,304990151.0
281,sh600000,浦发银行,2017-03-28,16.11,16.13,15.97,16.01,16.04,13212969.0,211750766.0
282,sh600000,浦发银行,2017-03-29,16.01,16.11,15.8,15.87,16.01,23446792.0,372794465.0
283,sh600000,浦发银行,2017-03-30,15.88,15.9,15.72,15.81,15.87,23645144.0,373665115.0
284,sh600000,浦发银行,2017-03-31,15.78,16.05,15.77,16.01,15.81,24187120.0,385793421.0
275,sz300274,阳光电源,2017-3-1,10.44,10.53,10.35,10.41,10.46,7986895.0,83504304.0
276,sz300274,阳光电源,2017-3-2,10.45,10.57,10.39,10.51,10.41,9938638.0,104193353.0
277,sz300274,阳光电源,2017-3-3,10.49,10.6,10.38,10.57,10.51,8478126.0,89134585.0
282,sz300274,阳光电源,2017-3-10,10.44,10.5,10.42,10.46,10.46,4878805.0,51015991.0
283,sz300274,阳光电源,2017-3-13,10.43,10.54,10.33,10.51,10.46,7824862.0,81884844.0
284,sz300274,阳光电源,2017-3-14,10.52,10.65,10.44,10.48,10.51,7625302.0,80293704.0
285,sz300274,阳光电源,2017-3-15,10.39,10.48,10.38,10.41,10.48,5210070.0,54326786.0
286,sz300274,阳光电源,2017-3-16,10.44,10.58,10.44,10.53,10.41,6093963.0,64031612.0
287,sz300274,阳光电源,2017-3-17,10.56,10.68,10.49,10.53,10.53,12077276.0,127900589.0
288,sz300274,阳光电源,2017-3-20,10.6,10.6,10.5,10.58,10.53,7381237.0,77759408.0
289,sz300274,阳光电源,2017-3-21,10.58,10.58,10.48,10.55,10.58,5672052.0,59694452.0
290,sz300274,阳光电源,2017-3-22,10.5,10.5,10.36,10.43,10.55,6947481.0,72463225.0
291,sz300274,阳光电源,2017-3-23,10.43,10.48,10.3,10.39,10.43,6075306.0,63205652.0
292,sz300274,阳光电源,2017-3-24,10.38,10.43,10.31,10.39,10.39,7141914.0,74039394.0
293,sz300274,阳光电源,2017-3-27,10.39,10.44,10.3,10.31,10.39,8820614.0,91305979.0
294,sz300274,阳光电源,2017-3-28,10.3,10.4,10.27,10.29,10.31,4476736.0,46203947.0
295,sz300274,阳光电源,2017-3-29,10.3,10.34,10.17,10.17,10.29,6296926.0,64557843.0
296,sz300274,阳光电源,2017-3-30,10.17,10.2,9.93,9.95,10.17,7921235.0,79524775.0
297,sz300274,阳光电源,2017-3-31,10.03,10.12,9.96,10.12,9.95,5204386.0,52296245.0
